State / County Name,Median Household Income
Alameda County (CA),72504.5
Contra Costa County (CA),77401.66666666667
Marin County (CA),89711.83333333333
Napa County (CA),67022.5
San Francisco County (CA),77263.0
San Mateo County (CA),89726.5
Santa Clara County (CA),91969.33333333333
Solano County (CA),64286.666666666664
Sonoma County (CA),62297.0
