State,County,Life Expectancy
California,"Alameda County, CA",75.5
California,"Alameda County, CA",77.5
California,"Alameda County, CA",76.6
California,"Alameda County, CA",73.0
California,"Alameda County, CA",79.5
California,"Alameda County, CA",83.3
California,"Alameda County, CA",83.5
California,"Alameda County, CA",80.9
California,"Alameda County, CA",80.3
California,"Alameda County, CA",81.4
California,"Alameda County, CA",75.6
California,"Alameda County, CA",80.7
California,"Alameda County, CA",79.9
California,"Alameda County, CA",83.3
California,"Alameda County, CA",77.5
California,"Alameda County, CA",79.2
California,"Alameda County, CA",78.5
California,"Alameda County, CA",81.1
California,"Alameda County, CA",77.4
California,"Alameda County, CA",79.7
California,"Alameda County, CA",79.9
California,"Alameda County, CA",81.4
California,"Alameda County, CA",83.9
California,"Alameda County, CA",80.7
California,"Alameda County, CA",80.3
California,"Alameda County, CA",84.3
California,"Alameda County, CA",77.1
California,"Alameda County, CA",78.0
California,"Alameda County, CA",75.3
California,"Alameda County, CA",83.6
California,"Alameda County, CA",80.6
California,"Alameda County, CA",82.2
California,"Alameda County, CA",80.6
California,"Alameda County, CA",80.8
California,"Alameda County, CA",78.1
California,"Alameda County, CA",77.9
California,"Alameda County, CA",79.2
California,"Alameda County, CA",78.5
California,"Alameda County, CA",80.3
California,"Alameda County, CA",82.0
California,"Alameda County, CA",82.4
California,"Alameda County, CA",79.9
California,"Alameda County, CA",81.1
California,"Alameda County, CA",86.3
California,"Alameda County, CA",82.3
California,"Alameda County, CA",81.0
California,"Alameda County, CA",86.8
California,"Alameda County, CA",80.8
California,"Alameda County, CA",81.2
California,"Alameda County, CA",82.7
California,"Alameda County, CA",81.3
California,"Alameda County, CA",82.7
California,"Alameda County, CA",79.9
California,"Alameda County, CA",82.8
California,"Alameda County, CA",81.2
California,"Alameda County, CA",86.7
California,"Alameda County, CA",81.1
California,"Alameda County, CA",84.7
California,"Alameda County, CA",88.5
California,"Alameda County, CA",81.5
California,"Alameda County, CA",83.1
California,"Alameda County, CA",85.3
California,"Alameda County, CA",81.2
California,"Alameda County, CA",81.2
California,"Alameda County, CA",82.9
California,"Alameda County, CA",83.9
California,"Alameda County, CA",85.0
California,"Alameda County, CA",84.2
California,"Alameda County, CA",80.4
California,"Alameda County, CA",81.6
California,"Alameda County, CA",83.5
California,"Alameda County, CA",81.3
California,"Alameda County, CA",80.5
California,"Alameda County, CA",79.8
California,"Alameda County, CA",89.1
California,"Alameda County, CA",88.6
California,"Alameda County, CA",80.1
California,"Alameda County, CA",81.2
California,"Alameda County, CA",83.7
California,"Alameda County, CA",84.6
California,"Alameda County, CA",84.7
California,"Alameda County, CA",83.0
California,"Alameda County, CA",84.4
California,"Alameda County, CA",86.4
California,"Alameda County, CA",84.6
California,"Alameda County, CA",78.6
California,"Alameda County, CA",79.4
California,"Alameda County, CA",81.8
California,"Alameda County, CA",90.0
California,"Alameda County, CA",81.8
California,"Alameda County, CA",81.3
California,"Alameda County, CA",84.0
California,"Alameda County, CA",81.8
California,"Alameda County, CA",85.9
California,"Alameda County, CA",82.9
California,"Alameda County, CA",83.0
California,"Alameda County, CA",81.3
California,"Alameda County, CA",83.6
California,"Alameda County, CA",84.0
California,"Alameda County, CA",80.7
California,"Alameda County, CA",81.3
California,"Alameda County, CA",80.4
California,"Alameda County, CA",82.2
California,"Alameda County, CA",83.6
California,"Alameda County, CA",81.1
California,"Alameda County, CA",83.5
California,"Alameda County, CA",82.4
California,"Alameda County, CA",83.9
California,"Alameda County, CA",80.8
California,"Alameda County, CA",86.5
California,"Alameda County, CA",83.1
California,"Alameda County, CA",83.0
California,"Alameda County, CA",82.8
California,"Alameda County, CA",87.4
California,"Alameda County, CA",83.8
California,"Alameda County, CA",85.4
California,"Alameda County, CA",81.3
California,"Alameda County, CA",83.9
California,"Alameda County, CA",81.8
California,"Alameda County, CA",81.7
California,"Alameda County, CA",81.3
California,"Alameda County, CA",80.7
California,"Alameda County, CA",82.8
California,"Alameda County, CA",78.9
California,"Alameda County, CA",79.8
California,"Alameda County, CA",81.9
California,"Alameda County, CA",82.3
California,"Alameda County, CA",78.6
California,"Alameda County, CA",79.9
California,"Alameda County, CA",81.9
California,"Alameda County, CA",80.5
California,"Alameda County, CA",81.4
California,"Alameda County, CA",82.3
California,"Alameda County, CA",78.3
California,"Alameda County, CA",82.5
California,"Alameda County, CA",80.9
California,"Alameda County, CA",79.9
California,"Alameda County, CA",83.4
California,"Alameda County, CA",81.3
California,"Contra Costa County, CA",78.3
California,"Contra Costa County, CA",77.9
California,"Contra Costa County, CA",78.8
California,"Contra Costa County, CA",75.6
California,"Contra Costa County, CA",84.4
California,"Contra Costa County, CA",76.3
California,"Contra Costa County, CA",80.9
California,"Contra Costa County, CA",83.7
California,"Contra Costa County, CA",81.0
California,"Contra Costa County, CA",80.3
California,"Contra Costa County, CA",79.5
California,"Contra Costa County, CA",82.5
California,"Contra Costa County, CA",79.9
California,"Contra Costa County, CA",83.6
California,"Contra Costa County, CA",77.8
California,"Contra Costa County, CA",81.2
California,"Contra Costa County, CA",81.0
California,"Contra Costa County, CA",72.9
California,"Contra Costa County, CA",79.2
California,"Contra Costa County, CA",73.8
California,"Contra Costa County, CA",73.6
California,"Contra Costa County, CA",79.8
California,"Contra Costa County, CA",76.1
California,"Contra Costa County, CA",75.9
California,"Contra Costa County, CA",71.8
California,"Contra Costa County, CA",75.5
California,"Contra Costa County, CA",78.7
California,"Contra Costa County, CA",78.3
California,"Contra Costa County, CA",77.3
California,"Contra Costa County, CA",78.0
California,"Contra Costa County, CA",79.6
California,"Contra Costa County, CA",76.6
California,"Contra Costa County, CA",71.6
California,"Contra Costa County, CA",79.6
California,"Contra Costa County, CA",77.4
California,"Contra Costa County, CA",77.8
California,"Contra Costa County, CA",81.6
California,"Contra Costa County, CA",79.5
California,"Contra Costa County, CA",80.9
California,"Contra Costa County, CA",78.1
California,"Contra Costa County, CA",78.7
California,"Contra Costa County, CA",77.5
California,"Contra Costa County, CA",77.1
California,"Contra Costa County, CA",77.9
California,"Contra Costa County, CA",78.7
California,"Contra Costa County, CA",76.2
California,"Contra Costa County, CA",76.9
California,"Contra Costa County, CA",78.2
California,"Contra Costa County, CA",79.4
California,"Contra Costa County, CA",81.5
California,"Contra Costa County, CA",81.8
California,"Contra Costa County, CA",80.0
California,"Contra Costa County, CA",81.9
California,"Contra Costa County, CA",84.5
California,"Contra Costa County, CA",83.9
California,"Contra Costa County, CA",82.8
California,"Contra Costa County, CA",82.0
California,"Contra Costa County, CA",86.1
California,"Contra Costa County, CA",80.3
California,"Contra Costa County, CA",78.9
California,"Contra Costa County, CA",82.5
California,"Contra Costa County, CA",76.8
California,"Contra Costa County, CA",78.3
California,"Contra Costa County, CA",80.2
California,"Contra Costa County, CA",80.6
California,"Contra Costa County, CA",78.7
California,"Contra Costa County, CA",81.0
California,"Contra Costa County, CA",86.2
California,"Contra Costa County, CA",80.9
California,"Contra Costa County, CA",79.7
California,"Contra Costa County, CA",73.2
California,"Contra Costa County, CA",79.7
California,"Contra Costa County, CA",84.1
California,"Contra Costa County, CA",83.0
California,"Contra Costa County, CA",80.2
California,"Contra Costa County, CA",77.1
California,"Contra Costa County, CA",77.1
California,"Contra Costa County, CA",79.4
California,"Contra Costa County, CA",75.8
California,"Contra Costa County, CA",82.4
California,"Contra Costa County, CA",79.1
California,"Contra Costa County, CA",84.0
California,"Contra Costa County, CA",78.2
California,"Contra Costa County, CA",82.1
California,"Contra Costa County, CA",80.8
California,"Contra Costa County, CA",84.7
California,"Contra Costa County, CA",85.2
California,"Contra Costa County, CA",82.6
California,"Contra Costa County, CA",85.7
California,"Contra Costa County, CA",79.9
California,"Contra Costa County, CA",86.8
California,"Contra Costa County, CA",80.5
California,"Contra Costa County, CA",82.1
California,"Contra Costa County, CA",81.1
California,"Contra Costa County, CA",85.0
California,"Contra Costa County, CA",82.1
California,"Contra Costa County, CA",83.0
California,"Contra Costa County, CA",82.6
California,"Contra Costa County, CA",80.8
California,"Contra Costa County, CA",82.9
California,"Contra Costa County, CA",88.3
California,"Contra Costa County, CA",83.4
California,"Contra Costa County, CA",86.4
California,"Contra Costa County, CA",84.7
California,"Contra Costa County, CA",88.0
California,"Contra Costa County, CA",83.5
California,"Contra Costa County, CA",87.8
California,"Contra Costa County, CA",85.4
California,"Contra Costa County, CA",84.1
California,"Contra Costa County, CA",83.5
California,"Contra Costa County, CA",84.5
California,"Contra Costa County, CA",84.0
California,"Contra Costa County, CA",82.3
California,"Contra Costa County, CA",81.3
California,"Contra Costa County, CA",86.3
California,"Contra Costa County, CA",84.2
California,"Contra Costa County, CA",85.3
California,"Contra Costa County, CA",87.0
California,"Contra Costa County, CA",83.3
California,"Contra Costa County, CA",83.5
California,"Contra Costa County, CA",86.3
California,"Contra Costa County, CA",85.8
California,"Contra Costa County, CA",86.9
California,"Contra Costa County, CA",86.9
California,"Contra Costa County, CA",81.1
California,"Contra Costa County, CA",88.4
California,"Contra Costa County, CA",77.7
California,"Contra Costa County, CA",78.2
California,"Contra Costa County, CA",81.8
California,"Contra Costa County, CA",75.1
California,"Contra Costa County, CA",80.6
California,"Contra Costa County, CA",85.0
California,"Contra Costa County, CA",81.0
California,"Contra Costa County, CA",85.0
California,"Contra Costa County, CA",81.2
California,"Contra Costa County, CA",81.1
California,"Contra Costa County, CA",81.4
California,"Contra Costa County, CA",81.4
California,"Contra Costa County, CA",83.7
California,"Contra Costa County, CA",84.7
California,"Contra Costa County, CA",80.7
California,"Contra Costa County, CA",85.6
California,"Contra Costa County, CA",79.5
California,"Contra Costa County, CA",76.0
California,"Contra Costa County, CA",78.4
California,"Contra Costa County, CA",83.6
California,"Contra Costa County, CA",81.9
California,"Contra Costa County, CA",80.9
California,"Contra Costa County, CA",84.7
California,"Contra Costa County, CA",81.0
California,"Contra Costa County, CA",82.2
California,"Contra Costa County, CA",82.5
California,"Contra Costa County, CA",79.9
California,"Contra Costa County, CA",83.8
California,"Contra Costa County, CA",77.9
California,"Contra Costa County, CA",82.2
California,"Contra Costa County, CA",84.3
California,"Contra Costa County, CA",77.0
California,"Contra Costa County, CA",77.8
California,"Contra Costa County, CA",77.1
California,"Contra Costa County, CA",79.4
California,"Contra Costa County, CA",77.2
California,"Contra Costa County, CA",83.4
California,"Contra Costa County, CA",79.4
California,"Contra Costa County, CA",84.0
California,"Contra Costa County, CA",78.6
California,"Contra Costa County, CA",75.9
California,"Contra Costa County, CA",77.0
California,"Contra Costa County, CA",77.6
California,"Contra Costa County, CA",79.0
California,"Contra Costa County, CA",76.7
California,"Contra Costa County, CA",80.6
California,"Contra Costa County, CA",77.6
California,"Contra Costa County, CA",78.2
California,"Contra Costa County, CA",75.9
California,"Contra Costa County, CA",75.0
California,"Contra Costa County, CA",75.3
California,"Contra Costa County, CA",73.0
California,"Contra Costa County, CA",80.5
California,"Contra Costa County, CA",76.4
California,"Contra Costa County, CA",75.1
California,"Contra Costa County, CA",80.1
California,"Contra Costa County, CA",84.5
California,"Contra Costa County, CA",86.4
California,"Contra Costa County, CA",82.9
California,"Contra Costa County, CA",81.1
California,"Contra Costa County, CA",81.2
California,"Contra Costa County, CA",81.4
California,"Contra Costa County, CA",79.3
California,"Contra Costa County, CA",87.3
California,"Contra Costa County, CA",85.6
California,"Contra Costa County, CA",90.0
California,"Contra Costa County, CA",82.5
California,"Contra Costa County, CA",81.8
California,"Contra Costa County, CA",84.9
California,"Marin County, CA",81.1
California,"Marin County, CA",81.9
California,"Marin County, CA",81.4
California,"Marin County, CA",85.8
California,"Marin County, CA",81.5
California,"Marin County, CA",82.0
California,"Marin County, CA",79.6
California,"Marin County, CA",86.6
California,"Marin County, CA",81.5
California,"Marin County, CA",88.4
California,"Marin County, CA",81.9
California,"Marin County, CA",79.4
California,"Marin County, CA",77.3
California,"Marin County, CA",79.9
California,"Marin County, CA",87.8
California,"Marin County, CA",83.7
California,"Marin County, CA",82.0
California,"Marin County, CA",81.2
California,"Marin County, CA",84.0
California,"Marin County, CA",82.7
California,"Marin County, CA",86.2
California,"Marin County, CA",79.5
California,"Marin County, CA",81.0
California,"Marin County, CA",76.2
California,"Marin County, CA",85.9
California,"Marin County, CA",85.3
California,"Marin County, CA",87.9
California,"Marin County, CA",81.9
California,"Marin County, CA",82.9
California,"Marin County, CA",91.2
California,"Marin County, CA",82.6
California,"Marin County, CA",84.7
California,"Marin County, CA",81.6
California,"Marin County, CA",85.2
California,"Marin County, CA",83.3
California,"Marin County, CA",80.4
California,"Marin County, CA",88.1
California,"Marin County, CA",84.9
California,"Marin County, CA",84.5
California,"Marin County, CA",86.0
California,"Marin County, CA",84.3
California,"Marin County, CA",84.0
California,"Marin County, CA",81.8
California,"Marin County, CA",84.4
California,"Marin County, CA",85.1
California,"Marin County, CA",80.9
California,"Marin County, CA",87.0
California,"Marin County, CA",81.0
California,"Marin County, CA",82.6
California,"Marin County, CA",85.8
California,"Marin County, CA",86.9
California,"Napa County, CA",83.9
California,"Napa County, CA",79.2
California,"Napa County, CA",78.5
California,"Napa County, CA",79.9
California,"Napa County, CA",82.1
California,"Napa County, CA",84.6
California,"Napa County, CA",77.3
California,"Napa County, CA",74.5
California,"Napa County, CA",81.5
California,"Napa County, CA",81.8
California,"Napa County, CA",80.6
California,"Napa County, CA",82.1
California,"Napa County, CA",78.6
California,"Napa County, CA",82.2
California,"Napa County, CA",82.8
California,"Napa County, CA",78.4
California,"Napa County, CA",80.5
California,"Napa County, CA",80.3
California,"Napa County, CA",82.3
California,"Napa County, CA",82.4
California,"Napa County, CA",80.0
California,"Napa County, CA",79.7
California,"Napa County, CA",77.6
California,"Napa County, CA",79.6
California,"Napa County, CA",82.8
California,"Napa County, CA",84.2
California,"Napa County, CA",82.1
California,"Napa County, CA",83.3
California,"Napa County, CA",84.3
California,"Napa County, CA",82.4
California,"Napa County, CA",83.6
California,"Napa County, CA",83.5
California,"Napa County, CA",81.8
California,"Napa County, CA",82.4
California,"Napa County, CA",83.4
California,"Napa County, CA",83.8
California,"San Francisco County, CA",82.7
California,"San Francisco County, CA",85.9
California,"San Francisco County, CA",88.5
California,"San Francisco County, CA",84.6
California,"San Francisco County, CA",89.4
California,"San Francisco County, CA",80.5
California,"San Francisco County, CA",79.0
California,"San Francisco County, CA",81.0
California,"San Francisco County, CA",82.7
California,"San Francisco County, CA",80.9
California,"San Francisco County, CA",77.4
California,"San Francisco County, CA",84.5
California,"San Francisco County, CA",82.4
California,"San Francisco County, CA",78.1
California,"San Francisco County, CA",85.0
California,"San Francisco County, CA",85.9
California,"San Francisco County, CA",73.8
California,"San Francisco County, CA",82.2
California,"San Francisco County, CA",79.4
California,"San Francisco County, CA",72.2
California,"San Francisco County, CA",78.6
California,"San Francisco County, CA",77.1
California,"San Francisco County, CA",73.7
California,"San Francisco County, CA",70.0
California,"San Francisco County, CA",73.1
California,"San Francisco County, CA",82.7
California,"San Francisco County, CA",81.5
California,"San Francisco County, CA",81.9
California,"San Francisco County, CA",86.6
California,"San Francisco County, CA",82.6
California,"San Francisco County, CA",83.4
California,"San Francisco County, CA",82.7
California,"San Francisco County, CA",81.2
California,"San Francisco County, CA",87.0
California,"San Francisco County, CA",87.5
California,"San Francisco County, CA",82.5
California,"San Francisco County, CA",82.6
California,"San Francisco County, CA",79.8
California,"San Francisco County, CA",80.5
California,"San Francisco County, CA",84.8
California,"San Francisco County, CA",79.7
California,"San Francisco County, CA",80.0
California,"San Francisco County, CA",87.3
California,"San Francisco County, CA",77.7
California,"San Francisco County, CA",77.8
California,"San Francisco County, CA",81.1
California,"San Francisco County, CA",81.3
California,"San Francisco County, CA",76.0
California,"San Francisco County, CA",80.0
California,"San Francisco County, CA",78.4
California,"San Francisco County, CA",83.4
California,"San Francisco County, CA",82.1
California,"San Francisco County, CA",81.3
California,"San Francisco County, CA",79.4
California,"San Francisco County, CA",81.3
California,"San Francisco County, CA",78.6
California,"San Francisco County, CA",82.9
California,"San Francisco County, CA",85.4
California,"San Francisco County, CA",79.0
California,"San Francisco County, CA",71.0
California,"San Francisco County, CA",83.4
California,"San Francisco County, CA",75.9
California,"San Francisco County, CA",75.7
California,"San Francisco County, CA",80.4
California,"San Francisco County, CA",81.5
California,"San Francisco County, CA",81.3
California,"San Francisco County, CA",81.5
California,"San Francisco County, CA",79.1
California,"San Francisco County, CA",81.5
California,"San Francisco County, CA",78.2
California,"San Francisco County, CA",80.1
California,"San Francisco County, CA",82.4
California,"San Francisco County, CA",81.5
California,"San Francisco County, CA",80.3
California,"San Francisco County, CA",84.0
California,"San Francisco County, CA",84.6
California,"San Francisco County, CA",82.1
California,"San Francisco County, CA",81.3
California,"San Francisco County, CA",83.3
California,"San Francisco County, CA",82.5
California,"San Francisco County, CA",82.8
California,"San Francisco County, CA",86.0
California,"San Francisco County, CA",78.2
California,"San Francisco County, CA",81.9
California,"San Francisco County, CA",79.4
California,"San Francisco County, CA",80.9
California,"San Francisco County, CA",80.1
California,"San Francisco County, CA",80.3
California,"San Francisco County, CA",79.0
California,"San Francisco County, CA",74.7
California,"San Francisco County, CA",74.9
California,"San Francisco County, CA",76.6
California,"San Francisco County, CA",73.0
California,"San Francisco County, CA",84.1
California,"San Francisco County, CA",81.3
California,"San Francisco County, CA",82.4
California,"San Francisco County, CA",79.0
California,"San Francisco County, CA",81.2
California,"San Francisco County, CA",82.5
California,"San Francisco County, CA",83.6
California,"San Francisco County, CA",83.0
California,"San Francisco County, CA",79.4
California,"San Francisco County, CA",83.4
California,"San Francisco County, CA",79.3
California,"San Francisco County, CA",81.9
California,"San Francisco County, CA",83.5
California,"San Francisco County, CA",76.8
California,"San Francisco County, CA",78.7
California,"San Francisco County, CA",83.4
California,"San Francisco County, CA",87.6
California,"San Francisco County, CA",82.1
California,"San Francisco County, CA",82.5
California,"San Francisco County, CA",82.9
California,"San Francisco County, CA",84.2
California,"San Francisco County, CA",83.9
California,"San Francisco County, CA",79.2
California,"San Francisco County, CA",81.4
California,"San Francisco County, CA",77.7
California,"San Francisco County, CA",81.5
California,"San Francisco County, CA",88.1
California,"San Francisco County, CA",84.7
California,"San Francisco County, CA",81.1
California,"San Francisco County, CA",88.9
California,"San Francisco County, CA",83.7
California,"San Francisco County, CA",84.9
California,"San Francisco County, CA",64.4
California,"San Francisco County, CA",83.7
California,"San Francisco County, CA",84.1
California,"San Francisco County, CA",86.0
California,"San Francisco County, CA",82.3
California,"San Francisco County, CA",84.4
California,"San Francisco County, CA",87.5
California,"San Francisco County, CA",86.1
California,"San Francisco County, CA",81.8
California,"San Francisco County, CA",86.7
California,"San Francisco County, CA",81.4
California,"San Francisco County, CA",79.6
California,"San Francisco County, CA",83.5
California,"San Francisco County, CA",84.9
California,"San Francisco County, CA",86.5
California,"San Francisco County, CA",83.5
California,"San Francisco County, CA",82.4
California,"San Francisco County, CA",85.6
California,"San Francisco County, CA",89.2
California,"San Francisco County, CA",84.7
California,"San Francisco County, CA",85.4
California,"San Francisco County, CA",80.7
California,"San Francisco County, CA",83.7
California,"San Francisco County, CA",86.0
California,"San Francisco County, CA",82.8
California,"San Francisco County, CA",85.7
California,"San Francisco County, CA",84.5
California,"San Francisco County, CA",85.9
California,"San Francisco County, CA",84.1
California,"San Francisco County, CA",87.7
California,"San Francisco County, CA",87.7
California,"San Francisco County, CA",81.5
California,"San Francisco County, CA",88.7
California,"San Francisco County, CA",88.2
California,"San Francisco County, CA",86.9
California,"San Francisco County, CA",84.6
